CT_Intitule,CT_Adresse,CT_Complement,CT_CodePostal,CT_Ville,CT_Pays,CT_Ape,CT_Identifiant,CT_Siret,CT_Telephone
PROLIANS- Bavilliers,(BURDIN MARINGUE) ZI ARGIESANS,"RUE DES COURBES FAUCHÉES ",90800,BAVILLIERS,France,,,,0384214689
PROLIANS- Epinal,"ZONE INDUSTRIELLE DE LA VOIVRE ","19 RUE DE LA VOIVRE ",88000,EPINAL,France,,fr23945751006,94575100600012,0329812210
DE NEUVE TUBES,3 ALLEE DES ABRUZZES - BAT K,PARC TECHNOLAND - ZI CHAMP DOLIN,69800,SAINT PRIEST,France,4672Z,FR96388342438,38834243800040,0472120079
AFPI Lorraine,10 rue Alfred Kastler,"Site technologiques Saint-Jacques ",54320,MAXEVILLE,France,,FR67 783 342 595,783342959,
CERTIS WATERTREATMENT,ZAC DU BOIS SAINT PIERRE,,38280,JANNEYRIAS,France,,,,04 72 47 02 74
GAMBALADONS,,,,,France,,,,
OGEC SAINT LUC CAMBRAI,,,,,France,,,,
LIXXBAIL,,,,,France,,,,
FILOR,659 AVENUE PAUL MULLER,,54600,VILLERS LES NANCY,France,,,,
ETUDES ET APPLCATIONS ECONOMIQUES,,,,,France,,,,
GERARD PHOTO,221 Rue du Maréchal Joffre,,88800,VITTEL,France,,,339511594,
DUCHTING PUMPEN,Wilhelm-Düchting - Strasse 22,,58453,WITTEN,Allemagne,,DE 126883207,348/5826/1793,+49(0)2302/969 0
CEPIC,445 Rue du Noyer des Bouttières,,76800,SAINT ETIENNE DU ROUVRAY,France,2813Z,FR01580501120,58050112000027,0232823782
SARL LA DEYVILLOISE,18 BIS RUE D'ALSACE,,88000,DEYVILLERS,France,,,,03 29 68 22 74
FORD LEASE,1 Rue du 1er Mai,,92000,NANTERRE,France,,FR91 393 319 959,,
EGGER POMPES TURO FRANCE SARL,"IMPASSE DES GRANGES ",,38290,LA VERPILLIERE,France,,FR67950404434,950404434,0474945005
PARISSE Nicolas,,,,,France,,,,
HELLOPRO,5 Avenue de la République,,75011,PARIS,France,,,798044129,
GEMMECOTTI SRL,VIA A. VOLTA 85/A,,20816,CERIANO LAGHETTO (MB),Italie,,,,+39 02 96460406
VOSGES CONTROLE,18 RUE DE LA PLAINE,,88150,CHAVELOT,France,,,,
POMPES GRUNDFOS DISTRIBUTION S.A.S,57 RUE DE MALACOMBE,,38070,ST QUENTIN FALLAVIER,France,4669C,FR84344871496,34487149600057,04 74 82 15 15
BARTHOD,PA LE MAS DES ENTREPRISES,5 AVENUE LIONEL TERRAY,69330,MEYZIEU,France,,,,04 72 97 07 10
FEYEL SAS,ACTIPOLE METZ BORNY,6 RUE DES SERRURIERS,57070,METZ,France,,,,03 87 62 33 11
LOCMATI,ZI INOVA 3000,BP 60089,88153,THAON LES VOSGES,France,7739Z,FR88342225208,34222520800038,0329393333
SD PACK,249 RUE DE L'INDUSTRIE,,01480,JASSANS RIOTTIER,France,,,,0469961099
ARCANE INDUSTRIES,ZI LES PALUDS,222 AV DE LA FLEURIDE - BP 11150,13782,AUBAGNE Cedex,France,2013B,FR62401112024,40111202400039,04 42 82 16 82
PICKLING SYSTEMS,ZONE MEGAZONE DE LA MOSELLE EST,130 RUE DES FOUGERES,57450,HENRIVILLE,France,,,,03 87 82 85 45
BOLLAERT HOTEL,,,,,France,,,,
FLUENCECORP,"RIVIERA MAESTRI DEL LAVORO, 12",,35127,PADOVA,Italie,,03606700288,322680PD,+39.049.870.4817
JPS,5 QUARTIER ROUSSEAU,,33720,CERONS,France,,,,06 17 19 15 47
PRP MACHINES,10 TER ROUTE DE VANDIERES,,54700,NORROY LES PONT A MOUSSON,France,,,,03  83 82 34 50
REXEL HEILLECOURT,3 RUE DU COTEAU,ZI NORD BP 91,54180,HEILLECOURT,France,,,,03 83 15 28 28
RESSORTS HAUT MARNAIS,29 RUE POUGNY,,52270,DOULAINCOURT,France,25932,FR 87 326 331 014,32633101400026,03 25 94 63 33
BMP INTEGRATION,ZA LES CORBIERES,7 IMPASSE DE LA CERISAIE,35580,GOVEN,France,,,,02 99 30 19 79
